"filename", "language", "C++", "Makefile", "comment", "blank", "total"
"c:\Programming\donald-rtx\Code\BHVNode.h", "C++", 76, 0, 1, 17, 94
"c:\Programming\donald-rtx\Code\BinaryRender.h", "C++", 19, 0, 0, 5, 24
"c:\Programming\donald-rtx\Code\BlinnPhong.h", "C++", 154, 0, 4, 21, 179
"c:\Programming\donald-rtx\Code\BoundingBox.h", "C++", 74, 0, 1, 19, 94
"c:\Programming\donald-rtx\Code\Camera.cpp", "C++", 113, 0, 5, 27, 145
"c:\Programming\donald-rtx\Code\Camera.h", "C++", 57, 0, 3, 6, 66
"c:\Programming\donald-rtx\Code\Cylinder.h", "C++", 121, 0, 5, 28, 154
"c:\Programming\donald-rtx\Code\GeoVec.h", "C++", 126, 0, 3, 26, 155
"c:\Programming\donald-rtx\Code\HitRecord.h", "C++", 18, 0, 1, 6, 25
"c:\Programming\donald-rtx\Code\Hittable.h", "C++", 16, 0, 0, 5, 21
"c:\Programming\donald-rtx\Code\Interval.h", "C++", 31, 0, 0, 7, 38
"c:\Programming\donald-rtx\Code\Light.h", "C++", 21, 0, 3, 7, 31
"c:\Programming\donald-rtx\Code\Makefile", "Makefile", 0, 14, 7, 9, 30
"c:\Programming\donald-rtx\Code\Material.h", "C++", 40, 0, 1, 7, 48
"c:\Programming\donald-rtx\Code\PPMWriter.cpp", "C++", 21, 0, 1, 8, 30
"c:\Programming\donald-rtx\Code\PPMWriter.h", "C++", 10, 0, 0, 3, 13
"c:\Programming\donald-rtx\Code\Pathtrace.h", "C++", 148, 0, 14, 26, 188
"c:\Programming\donald-rtx\Code\Ray.cpp", "C++", 10, 0, 0, 2, 12
"c:\Programming\donald-rtx\Code\Ray.h", "C++", 12, 0, 1, 3, 16
"c:\Programming\donald-rtx\Code\RenderMode.h", "C++", 12, 0, 0, 3, 15
"c:\Programming\donald-rtx\Code\Sphere.h", "C++", 71, 0, 2, 12, 85
"c:\Programming\donald-rtx\Code\Texture.h", "C++", 44, 0, 4, 11, 59
"c:\Programming\donald-rtx\Code\Triangle.h", "C++", 82, 0, 1, 19, 102
"c:\Programming\donald-rtx\Code\World.h", "C++", 59, 0, 0, 12, 71
"c:\Programming\donald-rtx\Code\nlohmann\json.hpp", "C++", 17408, 0, 4325, 2957, 24690
"c:\Programming\donald-rtx\Code\nlohmann\json_fwd.hpp", "C++", 102, 0, 43, 32, 177
"c:\Programming\donald-rtx\Code\raytracer.cpp", "C++", 200, 0, 7, 35, 242
"c:\Programming\donald-rtx\Code\utils.cpp", "C++", 14, 0, 0, 2, 16
"c:\Programming\donald-rtx\Code\utils.h", "C++", 5, 0, 0, 2, 7
"Total", "-", 19064, 14, 4432, 3317, 26827